cv,debutYear,NO,agency,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
浪川大輔,1986,1,ステイラック,1,1,0,0,1,0,0,0,1,0,2,1,1,2,3,1,4,8,12,14,15,25,15,14,10,12,23,20,18,18,19
井上喜久子,1988,2,オフィスアネモネ,0,0,1,5,3,4,6,3,2,8,4,2,5,3,12,12,10,16,6,11,15,16,16,16,16,9,18,18,14,18,18
藤原啓治,1990,3,AIR AGENCY,0,0,0,0,1,2,4,5,6,8,9,6,4,4,5,9,9,13,13,12,16,14,18,9,14,19,10,17,9,17,12
石田彰,1990,4,PEERLESS GERBERA,0,0,0,0,2,2,2,0,10,6,7,9,15,8,12,11,14,12,14,16,14,14,13,13,11,14,14,18,15,16,27
津田健次郎,1995,5,フリー,0,0,0,0,0,0,0,0,0,1,3,3,3,2,1,2,0,1,2,9,8,7,8,3,5,6,11,9,15,17,25
諏訪部順一,1996,6,東京俳優生活協同組合,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,3,6,8,9,12,13,14,7,13,13,22,22,12,19,21
櫻井孝宏,1996,7,INTENTION,0,0,0,0,0,0,0,0,0,0,1,2,5,4,6,15,10,12,11,8,17,8,11,15,15,14,26,21,16,24,37
小西克幸,1997,8,賢プロダクション,0,0,0,0,0,0,0,0,0,0,0,6,6,4,9,18,18,18,21,18,10,17,10,17,10,18,16,17,17,18,24
鳥海浩輔,1997,9,アーツビジョン,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,5,3,11,6,7,13,11,10,4,10,7,15,18,15,19,25
大原さやか,1998,10,東京俳優生活協同組合,0,0,0,0,0,0,0,0,0,0,0,0,1,10,5,4,6,8,10,20,17,20,17,22,10,19,17,12,16,14,15
小山力也,1998,11,劇団俳優座,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,6,6,12,13,11,16,13,13,12,13,17,19,16,24
福山潤,1998,12,アクセルワン,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,7,17,12,17,17,11,11,13,16,14,14,19,18,25,16,25
能登麻美子,1998,13,大沢事務所,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,8,11,17,25,18,22,19,20,21,14,19,25,17,13,14,14
杉田智和,1999,14,アトミックモンキー,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,6,8,6,8,13,16,6,15,15,13,22,23,16,16,34
沢城みゆき,1999,15,青二プロダクション,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,8,10,23,16,21,26,18,10,26,18,20,16,21
釘宮理恵,1999,16,アイムエンタープライズ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12,8,11,14,12,13,19,19,17,11,15,22,18,12,14,12
中村悠一,2001,17,シグマ・セブン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,2,4,18,20,15,11,10,15,16,19,18,18,25
下野紘,2002,18,アイムエンタープライズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,6,9,10,9,11,15,12,17,17,12,16
小野大輔,2002,19,フリー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,22,28,20,14,13,15,13,15,16,18,17,17,29
宮野真守,2002,20,劇団ひまわり,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,5,5,7,11,6,8,8,12,14,20,20,11
小林ゆう,2003,21,Holy Peak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,14,18,14,16,13,18,23,18,14,10,14,21
花澤香菜,2003,22,大沢事務所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,9,10,17,21,26,24,17,19,17
柿原徹也,2003,23,Zynchro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,6,16,16,17,13,7,12,9,18,13,15,21
悠木碧,2003,24,プロ・フィット,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,10,12,13,13,12,10,16,14
伊瀬茉莉也,2004,25,アクロス エンタテインメント,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,7,10,11,13,17,14,11,4,3
細谷佳正,2005,26,フリー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,10,8,4,5,10,9,16,16,21,31
内山夕実,2005,27,アーツビジョン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13,28,29,10,14,16
 梶裕貴,2006,28,VIMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,11,3,12,13,19,18,27,19,27
岡本信彥,2006,29,プロ・フィット,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,14,17,20,19,13,15,12,17,13
小野友樹,2006,30,アトミックモンキー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,1,10,18,20,19,5,9,12
日笠陽子,2007,31,アイムエンタープライズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,16,15,22,22,13,16,33
早見沙織,2007,32,アイムエンタープライズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,11,10,12,11,14,18,12
佐藤聡美,2007,33,青二プロダクション,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,22,12,5,12,13,11,11,7
戶松遙,2007,34,ミュージックレイン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,17,13,14,12,18,10,11,10
日高里菜,2008,35,大沢事務所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,8,12,18,6,12,8
松岡禎丞,2009,36,アイムエンタープライズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,17,24,16,18,18,29
金元寿子,2009,37,ぷろだくしょんバオバブ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,10,16,12,10,14,21
赤崎千夏,2010,38,81プロデュース,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,25,18,10,14,11
小松未可子,2010,39,ヒラタオフィス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,12,10,15,16
内田真礼,2010,40,アイムエンタープライズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,14,13,13,18,10
石上靜香,2010,41,プロ・フィット,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,10,14,28
佐倉綾音,2010,42,アイムエンタープライズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,13,16,10,20,25
東山奈央,2010,43,INTENTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,14,10,16,12
茅野愛衣,2010,44,大沢事務所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,18,28,15,25,27
洲崎綾,2010,45,アイムエンタープライズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,21,10,14,9
花江夏樹,2011,46,アクロス エンタテインメント,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,18,14,16,18
逢坂良太,2011,47,  EARLY WING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,23,15,19,19
加隈亜衣,2012,48,マウスプロモーション,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,14,25
種田梨沙,2012,49,大沢事務所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,10,11,6
大地葉,2012,50,VIMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,7,23
山下大輝,2012,51,アーツビジョン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,12,15,23
M·A·O,2012,52,イエローキャブNEXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10,14,22
千本木彩花,2013,53,アイムエンタープライズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,23
木村珠莉,2013,54,東京俳優生活協同組合,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,21
本渡楓,2015,55,アイムエンタープライズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24